date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:14	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/robots.txt		(from )
15:51:14	11226/-1	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:14%20GMT	http://sdm.rightcare.nhs.uk/	C:/SDM/SDM/sdm.rightcare.nhs.uk/index.html	(from )
15:51:14	969/969	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:49:56%20GMT	http://sdm.rightcare.nhs.uk/favicon.ico	C:/SDM/SDM/sdm.rightcare.nhs.uk/favicon.html	(from )
15:51:14	5738/5738	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/javascript/reset-fonts-grids.css	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/javascript/reset-fonts-grids.css	(from )
15:51:15	24743/24743	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/jquery-ui/jquery-ui-1.8.18.custom.css	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/jquery-ui/jquery-ui-1.8.18.custom.css	(from )
15:51:16	3674/3674	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/fancybox/jquery.fancybox.css	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/fancybox/jquery.fancybox.css	(from )
15:51:18	152800/152800	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/styles/screen.css?201301291443	C:/SDM/SDM/sdm.rightcare.nhs.uk/styles/screen9756.css	(from )
15:51:21	16975/16975	---M--	200	added ('OK')	text/javascript	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/fancybox/jquery.fancybox.pack.js	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/fancybox/jquery.fancybox.pack.js	(from )
15:51:21	6154/6154	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Apr%202013%2014:51:21%20GMT	http://sdm.rightcare.nhs.uk/no-javascript	C:/SDM/SDM/sdm.rightcare.nhs.uk/no-javascript.9.delayed	(from )
15:51:23	8236/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:21%20GMT	http://sdm.rightcare.nhs.uk/accessibility	C:/SDM/SDM/sdm.rightcare.nhs.uk/accessibility.html	(from )
15:51:24	8307/8307	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Sep%202012%2014:37:57%20GMT	http://sdm.rightcare.nhs.uk/public/cms/150/318/26/28/7T52oK_web.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/public/cms/150/318/26/28/7T52oK_web.png	(from )
15:51:25	6163/6163	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Sep%202012%2014:37:57%20GMT	http://sdm.rightcare.nhs.uk/public/cms/150/318/26/28/z0DwCZ_web.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/public/cms/150/318/26/28/z0DwCZ_web.png	(from )
15:51:28	62216/62216	---M--	200	added ('OK')	text/javascript	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/jquery-ui/jquery-ui-1.8.18.custom.min.js	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/jquery-ui/jquery-ui-1.8.18.custom.min.js	(from )
15:51:28	16985/16985	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Sep%202012%2014:31:39%20GMT	http://sdm.rightcare.nhs.uk/media_manager/public/150/images/download-apps.jpg	C:/SDM/SDM/sdm.rightcare.nhs.uk/media_manager/public/150/images/download-apps.jpg	(from )
15:51:29	3585/3585	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Jul%202012%2016:20:31%20GMT	http://sdm.rightcare.nhs.uk/public/cms/150/318/29/31/qJrJ7A_web.jpg	C:/SDM/SDM/sdm.rightcare.nhs.uk/public/cms/150/318/29/31/qJrJ7A_web.jpg	(from )
15:51:30	15203/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:28%20GMT	http://sdm.rightcare.nhs.uk/your-account/access/	C:/SDM/SDM/sdm.rightcare.nhs.uk/your-account/access/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:31	8163/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:29%20GMT	http://sdm.rightcare.nhs.uk/about/shared-decision-making/	C:/SDM/SDM/sdm.rightcare.nhs.uk/about/shared-decision-making/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:31	93867/93867	---M--	200	added ('OK')	text/javascript	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/jquery/jquery-1.7.1.js	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/jquery/jquery-1.7.1.js	(from )
15:51:32	97152/97152	---M--	200	added ('OK')	text/javascript	date:Fri,%2025%20Jan%202013%2015:25:41%20GMT	http://sdm.rightcare.nhs.uk/javascript/site.js?201301291443	C:/SDM/SDM/sdm.rightcare.nhs.uk/javascript/site9756.js	(from )
15:51:33	8366/-1	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:31%20GMT	http://sdm.rightcare.nhs.uk/faq/	C:/SDM/SDM/sdm.rightcare.nhs.uk/faq/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:33	20049/-1	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:31%20GMT	http://sdm.rightcare.nhs.uk/pda/	C:/SDM/SDM/sdm.rightcare.nhs.uk/pda/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:34	6504/6504	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:33%20GMT	http://sdm.rightcare.nhs.uk/mobile-apps/	C:/SDM/SDM/sdm.rightcare.nhs.uk/mobile-apps/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:35	9594/-1	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:33%20GMT	http://sdm.rightcare.nhs.uk/videos/	C:/SDM/SDM/sdm.rightcare.nhs.uk/videos/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:35	9168/-1	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:33%20GMT	http://sdm.rightcare.nhs.uk/about/using-a-decision-aid/	C:/SDM/SDM/sdm.rightcare.nhs.uk/about/using-a-decision-aid/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:35	7797/7797	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:35%20GMT	http://sdm.rightcare.nhs.uk/contact/	C:/SDM/SDM/sdm.rightcare.nhs.uk/contact/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:36	3633/3633	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/fancybox/fancybox_sprite.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/fancybox/fancybox_sprite.png	(from http://sdm.rightcare.nhs.uk/)
15:51:36	8236/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:35%20GMT	http://sdm.rightcare.nhs.uk/accessibility/	C:/SDM/SDM/sdm.rightcare.nhs.uk/accessibility/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:37	19569/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:34%20GMT	http://sdm.rightcare.nhs.uk/shared-decision-making-sheets/	C:/SDM/SDM/sdm.rightcare.nhs.uk/shared-decision-making-sheets/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:37	4270/4270	---M--	200	added ('OK')	image/gif	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/fancybox/fancybox_loading.gif	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/fancybox/fancybox_loading.gif	(from http://sdm.rightcare.nhs.uk/)
15:51:37	43/43	---M--	200	added ('OK')	image/gif	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/fancybox/blank.gif	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/fancybox/blank.gif	(from http://sdm.rightcare.nhs.uk/)
15:51:38	9141/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:36%20GMT	http://sdm.rightcare.nhs.uk/privacy-policy/	C:/SDM/SDM/sdm.rightcare.nhs.uk/privacy-policy/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:40	77501/77501	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/fonts/fc09de64-de25-425e-90dc-a0cae29b02c4.svg	C:/SDM/SDM/sdm.rightcare.nhs.uk/fonts/fc09de64-de25-425e-90dc-a0cae29b02c4.svg	(from http://sdm.rightcare.nhs.uk/)
15:51:40	10399/-1	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:37%20GMT	http://sdm.rightcare.nhs.uk/terms-of-use/	C:/SDM/SDM/sdm.rightcare.nhs.uk/terms-of-use/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:40	11502/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:38%20GMT	http://sdm.rightcare.nhs.uk/cookies/	C:/SDM/SDM/sdm.rightcare.nhs.uk/cookies/index.html	(from http://sdm.rightcare.nhs.uk/)
15:51:41	1312/1312	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/images/icons/dialog-success.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/images/icons/dialog-success.png	(from http://sdm.rightcare.nhs.uk/)
15:51:41	1251/1251	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/images/icons/dialog-information.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/images/icons/dialog-information.png	(from http://sdm.rightcare.nhs.uk/)
15:51:41	981/981	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/images/icons/dialog-warning.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/images/icons/dialog-warning.png	(from http://sdm.rightcare.nhs.uk/)
15:51:41	1210/1210	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/images/icons/dialog-error.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/images/icons/dialog-error.png	(from http://sdm.rightcare.nhs.uk/)
15:51:41	1270/1270	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/images/icons/col-close-even.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/images/icons/col-close-even.png	(from http://sdm.rightcare.nhs.uk/)
15:51:42	1319/1319	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/images/icons/col-close-odd.png	C:/SDM/SDM/sdm.rightcare.nhs.uk/images/icons/col-close-odd.png	(from http://sdm.rightcare.nhs.uk/)
15:51:43	6603/6603	---M--	200	added ('OK')	text/javascript	date:Mon,%2021%20Jan%202013%2016:35:29%20GMT	http://sdm.rightcare.nhs.uk/external/plugins/jquery.aria-lightbox-0.1.js	C:/SDM/SDM/sdm.rightcare.nhs.uk/external/plugins/jquery.aria-lightbox-0.1.js	(from http://sdm.rightcare.nhs.uk/)
15:51:43	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2025%20Apr%202013%2014:51:43%20GMT	http://sdm.rightcare.nhs.uk/your-account/forgotten-password/	C:/SDM/SDM/sdm.rightcare.nhs.uk/your-account/forgotten-password/index.html	(from http://sdm.rightcare.nhs.uk/your-account/access/)
15:51:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202013%2014:51:43%20GMT	http://sdm.rightcare.nhs.uk/about/	C:/SDM/SDM/sdm.rightcare.nhs.uk/about/index.html	(from http://sdm.rightcare.nhs.uk/about/shared-decision-making/)
15:51:44	6425/6425	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:43%20GMT	http://sdm.rightcare.nhs.uk/your-account/send-confirmation-email/	C:/SDM/SDM/sdm.rightcare.nhs.uk/your-account/send-confirmation-email/index.html	(from http://sdm.rightcare.nhs.uk/your-account/access/)
15:51:45	7674/7674	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:44%20GMT	http://sdm.rightcare.nhs.uk/about/about-nhs-right-care/	C:/SDM/SDM/sdm.rightcare.nhs.uk/about/about-nhs-right-care/index.html	(from http://sdm.rightcare.nhs.uk/about/shared-decision-making/)
15:51:46	7759/7759	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:45%20GMT	http://sdm.rightcare.nhs.uk/about/about-totally-health/	C:/SDM/SDM/sdm.rightcare.nhs.uk/about/about-totally-health/index.html	(from http://sdm.rightcare.nhs.uk/about/shared-decision-making/)
15:51:50	154630/154630	---M--	200	added ('OK')	application/x-javascript	etag:%22445483c4f0a966b62895f5a28ba98bbd%22	https://s3-eu-west-1.amazonaws.com/th.sdm/jwplayer.js	C:/SDM/SDM/s3-eu-west-1.amazonaws.com/th.sdm/jwplayer.js	(from http://sdm.rightcare.nhs.uk/)
15:51:50	12424/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:44%20GMT	http://sdm.rightcare.nhs.uk/about/about-the-nhs-shared-decision-making-programme/	C:/SDM/SDM/sdm.rightcare.nhs.uk/about/about-the-nhs-shared-decision-making-programme/index.html	(from http://sdm.rightcare.nhs.uk/about/shared-decision-making/)
15:51:51	9287/0	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:46%20GMT	http://sdm.rightcare.nhs.uk/about/about-bmj-group/	C:/SDM/SDM/sdm.rightcare.nhs.uk/about/about-bmj-group/index.html	(from http://sdm.rightcare.nhs.uk/about/shared-decision-making/)
15:51:52	9871/-1	---M--	200	added ('OK')	text/html	date:Thu,%2025%20Apr%202013%2014:51:50%20GMT	http://sdm.rightcare.nhs.uk/pda/aaa-repair/	C:/SDM/SDM/sdm.rightcare.nhs.uk/pda/aaa-repair/index.html	(from http://sdm.rightcare.nhs.uk/pda/)
